Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d040954	M14	30.8006439	23.06202895	13.83969417	16.09965358	16.30443278	37.23802162	37.68942089	16.28931888	22.89414936	14.91937221	10.09611247
Zm00001d040959	M6	8.907032005	12.68514717	13.68198966	14.19951	14.03446717	7.399638858	7.922442291	7.781481203	8.43246973	8.554189522	8.146167592
Zm00001d040960	M6	8.032173841	12.44191872	12.52123811	11.55260643	12.2633225	7.8531284	8.331910336	10.67012734	10.10711887	10.20263361	8.669447431
Zm00001d040986	M6	13.39591516	18.03783313	15.27298071	15.21597398	17.79977625	8.807071201	12.36496914	11.43814193	12.47001342	12.83073112	11.57140776
Zm00001d041004	M2	24.3774647	25.36487714	17.07502813	15.21650872	19.36225973	19.1347717	20.30981409	17.10652765	15.84918576	18.14544463	15.80709636
Zm00001d041035	M6	2.827828007	9.586904034	10.23694966	9.498717651	10.02299354	2.642838106	4.40486174	5.326141089	5.607446669	4.875090171	4.639443086
Zm00001d041036	M6	18.07385529	26.76674654	39.15259841	31.57325358	31.15601587	16.86143329	19.069327	23.82203431	23.56062252	26.95809427	27.02863005
Zm00001d041052	M1	17.86155196	15.54051181	15.64014356	16.0827995	14.31280111	18.83275313	15.71756068	14.88501014	13.76866998	16.54768531	15.04254557
Zm00001d041056	M1	13.46394734	7.09597433	7.024301581	6.538761037	7.627111584	14.08979415	11.6105861	9.052639159	5.159563304	6.659572833	5.468771667
Zm00001d041064	M6	8.181768259	15.8339212	15.68566445	15.27395932	16.10680595	8.081059519	7.931306851	9.707034801	10.57335216	9.266756911	7.735967104
Zm00001d041065	M1	39.78965384	10.0229336	8.99699503	10.01985695	7.857571896	44.09626928	12.9872423	11.82977982	9.1046311	13.04095437	20.42978906
Zm00001d041072	M6	84.42370364	86.80743449	101.8726057	86.86920545	87.4991383	76.58075414	70.48977515	88.8606491	89.51226627	84.26899983	77.07351943
Zm00001d041073	M6	4.364888726	10.88976892	10.66862472	11.01304514	11.29565236	5.209352954	5.449895848	7.182792074	8.279955411	6.718868092	6.047413458
Zm00001d041083	M6	6.053996282	7.437650708	8.74657968	8.67680283	7.889755233	6.361036236	6.311804486	6.61583841	7.305277382	7.803231494	7.205579454
